관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,,
28170-00001,수봉공원,근린공원,인천광역시 미추홀구 수봉북로 47,인천광역시 미추홀구 주안동 660-241,37.460187,126.664212,332694,배드민턴장+농구장+궁도장+양궁장,조합놀이대+흔들놀이기구,도서관+매점+화장실,자연학습원,현충탑+전망대+인공폭포,1944.1.8,인천광역시 미추홀구청,032-880-4502,2025.1.5,,
28170-00002,석바위공원,근린공원,인천광역시 미추홀구 구월남로 38,인천광역시 미추홀구 주안동 1578,37.454245,126.693651,47005,게이트볼장+배드민턴장,조합놀이대+흔들놀이기구,도서관+노인정+매점+화장실,,,1944.1.8,인천광역시 미추홀구청,032-880-4503,2025.1.5,,어린익공원
28170-00003,미추홀공원,근린공원,인천광역시 미추홀구 학익소로13번길 46,인천광역시 미추홀구 주안동 824,37.446271,126.6702513,38950,게이트볼장+배드민턴장,조합놀이대+흔들놀이기구,주차장+화장실,,분수대,1944.1.8,인천광역시 미추홀구청,032-880-4502,2025.1.5,,
28170-00004,미추홀공원,근린공원,인천광역시 미추홀구 학익소로13번길 46,인천광역시 미추홀구 주안동 824,37.446271,126.6702513,38950,게이트볼장+배드민턴장,조합놀이대+흔들놀이기구,주차장+화장실,,분수대,1944.1.8,인천광역시 미추홀구청,032-880-4502,2025.1.5,,
28170-00005,주안공원,어린이공원,인천광역시 미추홀구 주안서로43번길 20,인천광역시 미추홀구 주안동 281,37.462849,126.676809,7974.2,,조합놀이대+그네+오르기놀이+시소+흔들놀이기구,,,,1975.5.16,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00006,다솔공원,어린이공원,,인천광역시 미추홀구 주안동 1619,37.46082955,126.6950954,2370.2,,조합놀이대+흔들놀이기구,음수전,,,1981.8.14,인천광역시 미추홀구청,032-880-4509,2025.1.5,,
28170-00007,관교공원,어린이공원,,인천광역시 미추홀구 관교동 471,37.445956,126.6908331,1698.7,,조합놀이대,,,,1991.6.18,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00008,승학공원,어린이공원,인천광역시 미추홀구 경원대로652번길 19-21,인천광역시 미추홀구 관교동 495,37.44230331,126.693859,1701.3,,조합놀이대+흔들놀이기구,,,,1991.6.18,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00009,신비공원,어린이공원,인천광역시 미추홀구 주승로 154,인천광역시 미추홀구 관교동 516-2,37.445281,126.687507,1514.7,,조합놀이대+그네+흔들놀이기구,음수전,,,1991.6.18,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
28170-00010,나리공원,어린이공원,,인천광역시 미추홀구 학익동 52-7,37.44036588,126.6748498,1504,,,,,,1991.10.24,인천광역시 미추홀구청,032-880-4504,2025.1.5,,
